what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1417440362592
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1417440363240
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.redo",1417440365396
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1417440367549
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417440373932
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1417440375490
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1417440378207
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417440378255
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417440380137
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417440389891
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417440397899
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417440398676
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417440404939
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417440406090
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417440407667
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417440409732
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417440413588
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417440415118
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417440415135
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1417440416253
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417440416273
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1417440416355
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1417440416825
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1417440417869
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1417440417954
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1417440418048
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1417440418762
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1417440420209
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417440421522
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417440458108
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417440460242
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417440504857
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1417440504919
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417440531233
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417440607876
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417440622196
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417440631922
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417440637183
opened,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1417440637317
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1417440637345
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1417440642488
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1417440662145
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1417440691450
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1417440732087
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1417440734315
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1417440735502
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1417440746770
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1417440749831
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417440751504
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417440754126
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1417440759743
