what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.400.v201005270700,"org.eclipse.jst.j2ee.ejb",1417446224805
started,bundle,org.eclipse.jst.j2ee.jca,1.1.400.v201005270700,"org.eclipse.jst.j2ee.jca",1417446224817
started,bundle,org.eclipse.jst.jee.ejb,1.0.300.v201004191420,"org.eclipse.jst.jee.ejb",1417446224826
started,bundle,org.eclipse.jst.jee.web,1.0.300.v201004280739,"org.eclipse.jst.jee.web",1417446224834
started,bundle,org.eclipse.xsd,2.6.0.v20100614-1136,"org.eclipse.xsd",1417446224891
started,bundle,org.eclipse.jst.servlet.ui,1.1.400.v201005272100,"org.eclipse.jst.servlet.ui",1417446225113
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1417446236548
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417446239365
started,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1417446239521
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1417446239524
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1417446240910
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417446240935
opened,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1417446240977
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1417446241006
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1417446241163
error,log,,,"Error starting server Tomcat v6.0 Server at localhost",1417446246209
error,log,,,"Several ports (8005, 8080) required by Tomcat v6.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1417446246211
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417446246340
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417446248810
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417446250388
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417446279646
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417446282669
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1417446284091
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417446284112
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1417446284201
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1417446284288
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1417446284995
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1417446285015
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1417446286524
started,bundle,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser",1417446286599
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417446293266
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1417446314990
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417446319163
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417446341282
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417446342670
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417446343929
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417446346721
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1417446348051
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417446348077
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417446349623
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1417446355971
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417446359422
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1417446360514
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.AllMarkersView",1417446368481
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1417446370101
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1417446382187
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1417446382219
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1417446384383
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1417446432249
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417446443647
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417446453100
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1417446462551
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417446468912
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417446515186
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417446516440
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417446536381
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1417446548293
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417446561647
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417446571056
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417446576390
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417446598097
opened,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1417446604527
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1417446604576
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417446609420
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.copy.qualified.name",1417446617189
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417446618534
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417446641538
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1417446642178
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417446645720
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417446650305
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1417446656641
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1417446656709
closed,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1417446656709
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417446660274
opened,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1417446662180
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1417446662216
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417446662241
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1417446664072
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1417446687917
